VAMC,Station No.,VA Funded,FY26 Q2 PubTracker Count,FY26 Q2 Dimensions Count,FY26 Q2 % Entered
Wm. Jennings Bryan Dorn VA Medical Center; Columbia VA Health Care System,544,Y,1,0,
Miami VA Healthcare System; Bruce W. Carter VA Medical Center,546,Y,1,0,
West Palm Beach VA Medical Center,548,Y,0,0,100%
"VA North Texas Health Care System (Dallas, TX)",549,Y,12,0,
VA Illiana Health Care System,550,,0,0,100%
Dayton VA Medical Center,552,Y,1,0,
"John D. Dingell VA Medical Center (Detroit, MI)",553,Y,2,0,
"VA Eastern Colorado Health Care System; Denver VA Medical Center; VA Rocky Mountain Network; VA Rocky Mountain Mental Illness Research, Education and Clinical Center",554,Y,22,0,
Carl Vinson VA Medical Center,557,,0,0,100%
Durham VA Medical Center; Durham VA Health Care System,558,Y,17,0,
Veterans Health Care System of the Ozarks; Fayetteville VA Medical Center,564; 565,,0,0,100%
VA Central California Health Care System; Fresno VA Medical Center,570,Y,0,0,100%
"Malcom Randall VA Medical Center; North Florida/South Georgia Veterans Health System (Gainesville, FL)",573,Y,8,0,
VA Western Colorado (Grand Junction),575,Y,1,0,
"Edward Hines, Jr. VA Hospital",578,Y,15,0,
"Michael E. DeBakey VA Medical Center (Houston, TX)",580,Y,36,0,
"Hershel Woody Williams VA Medical Center (Huntington, WV)",581,Y,2,0,
"Richard L. Roudebush VA Medical Center (Indianapolis, IL)",583,Y,13,0,
"G.V. (Sonny) Montgomery VA Medical Center (Jackson, MS)",586,Y,0,0,100%
Kansas City VA Medical Center,589,Y,14,0,
Hampton VA Medical Center,590,Y,0,0,100%
"VA Southern Nevada Healthcare System (Las Vegas, NV)",593,Y,0,0,100%
"Lebanon VA Medical Center (Lebanon, PA)",595,Y,0,0,100%
Lexington VA Health Care System,596,Y,5,0,
VA Long Beach Healthcare System; Tibor Rubin VA Medical Center,600,Y,3,0,
"Louisville VA Medical Center (AKA: Robley Rex VA, Louisville, KY)",603,Y,0,0,100%
VA Loma Linda Healthcare System; Jerry L. Pettis Memorial VA Medical Center,605,Y,4,0,
"William S. Middleton Memorial Veterans Hospital (Madison, WI)",607,Y,2,0,
Manchester VA Medical Center,608,Y,0,0,100%
VA Northern California Health Care System; Sacramento VA Medical Center,612,Y,2,0,
Martinsburg VA Medical Center,613,,0,0,100%
Memphis VA Medical Center,614,Y,1,0,
Minneapolis VA Health Care System; Minneapolis VA Medical Center,618,Y,36,0,
"VA Hudson Valley Health Care System (includes Castle Point Campus and Montrose, NY)",620,Y,0,0,100%
"Mountain Home VA Healthcare System; James H. Quillen VA Medical Center (Johnson City, TN)",621,Y,1,0,
Eastern Oklahoma VA Health Care System; Jack C. Montgomery VA Medical Center,623,Y,0,0,100%
VA Tennessee Valley Healthcare System; Nashville VA Medical Center,626,Y,4,0,
Southeast Louisiana Veterans Health Care System (New Orleans),629,Y,1,0,
"VA Central Western Massachusetts Healthcare System (Northampton, MA)",631,Y,1,0,
"Northport VA Medical Center (Fort Salonga, New York)",632,Y,1,0,
Oklahoma City VA Medical Center; Oklahoma City VA Health Care System,635,Y,1,0,
Omaha VA Medical Center; VA Nebraska Western Iowa Health Care System,636,Y,65,0,
"Charles George VA Medical Center (Asheville, NC)",637,Y,0,0,100%
Philadelphia VA Medical Center,642,Y,49,0,
Phoenix VA Health Care System; Carl T. Hayden Veterans Affairs Medical Center,644,Y,0,0,100%
Portland VA Medical Center; VA Portland Health Care System,648,Y,39,0,
Northern Arizona VA Health Care System,649,Y,0,0,100%
Providence VA Medical Center,650,Y,22,0,
"Hunter Holmes McGuire VA Medical Center (Richmond, VA)",652,Y,8,0,
"VA Sierra Nevada Health Care System (Reno, NV)",654,Y,1,0,
St. Cloud VA Health Care System,656,,0,0,100%
St. Louis VA Medical Center; VA St. Louis Health Care System; John Cochran VA Medical Center,657,Y,4,0,
"Salem VA Medical Center (Salem, VA)",658,Y,3,0,
"W. G. (Bill) Hefner VA Medical Center (Salisbury, NC)",659,Y,2,0,
VA Salt Lake City Health care System; George E. Wahlen Department of VA Medical Center,660,Y,21,0,
San Francisco VA Medical Center; San Francisco VA Health Care System,662,Y,9,0,
VA San Diego Healthcare System,664,Y,171,0,
VA Sepulveda Ambulatory Care Center,665,Y,0,0,100%
"Overton Brooks VA Medical Center (Shreveport, LA)",667,Y,0,0,100%
"Mann-Grandstaff VA Medical Center (Spokane, WA)",668,Y,0,0,100%
Audie L. Murphy Memorial VA Hospital; VA South Texas Health Care System,671,,3,0,
"VA Caribbean Healthcare System (San Juan, PR)",672,Y,6,0,
"James A. Haley Veterans' Hospital (Tampa, FL)",673,Y,1,0,
"Central Texas Veterans Health Care System; Olin E. Teague VA Medical Center (Temple, TX)",674,Y,1,0,
Orlando VA Medical Center,675,Y,0,0,100%
"Southern Arizona VA Health Care System (Tucson, AZ)",678,Y,0,0,100%
Tuscaloosa VA Medical Center,679,Y,1,0,
Jonathan M. Wainwright Memorial VAMC - Walla Walla VA (Not in VA Dimensions),687,,0,0,100%
Washington DC VA Medical Center,688,Y,16,0,
"VA Connecticut Healthcare System (West Haven, CT)",689,Y,12,0,
VA West Los Angeles Medical Center; VA Greater Los Angeles Healthcare System,691,Y,17,0,
Wilkes-Barre VA Medical Center,693,Y,0,0,100%
Milwaukee VA Medical Center (includes Clement J. Zablocki VAMC),695,Y,1,0,
El Paso VA Health Care System,756,,0,0,100%
"VA Boston Healthcare System; Sam Rayburn Memorial Veterans Center (includes Brockton, Jamaica Plain, West Roxbury)","523, 523A4, 525, 549A4",Y,45,0,
Syracuse VA Medical Center,528A7,Y,1,0,
Albany Stratton VA Medical Center,528A8,Y,10,0,
VA New Jersey Health Care System; New York/New Jersey VA Health Care Network; East Orange VA Medical Center (includes Lyons),"561, 561A4",Y,5,0,
Iowa City VA Health Care System; Iowa City VA Medical Center,"584, 636A8",Y,33,0,
VA Eastern Kansas Health Care System; Dwight D. Eisenhower VA Medical Center; Colmery-O'Neil VA Medical Center,"589A5, 589A6",Y,1,0,
Central Arkansas Veterans Healthcare System; John L. McClellan Memorial Veterans Hospital (includes Eugene J. Towbin),"598, 598NLR",Y,44,0,
Central Alabama Veterans Health Care System,619A4,,0,0,100%
"VA Central Iowa Health Care System (Des Moines, IA)",636A6,,0,0,100%
VA Palo Alto Health Care System (includes Menlo Park),"640, 640MPD",Y,34,0,
VA Pittsburgh Healthcare System (includes H.J. Heinz Campus),"646, 646A4",Y,27,0,
VA Puget Sound Health Care System (includes American Lake),"663, 663A4",Y,24,0,
"Doris Miller VA Medical Center (Waco, TX)",674A4,,4,0,
"VA Sunshine Healthcare Network (St. Petersburg, FL)",,,0,0,100%
TOTAL,,,1339,0,
